Crop_Recommended,Soil_Health_Score,Soil_Health_Class,Nutrient_Deficiencies,Soil_Fertility_Status,Crop_Recommended_enc,Soil_Health_Class_enc,Nutrient_Deficiencies_enc,Soil_Fertility_Status_enc
Wheat,82.87,Excellent,Potassium,Moderately Fertile,9,0,7,2
Tomato,61.38,Good,"Nitrogen, Phosphorus",Infertile,8,1,1,1
Soybean,72.65,Good,Potassium,Moderately Fertile,6,1,7,2
Jute,87.55,Excellent,None,Fertile,2,0,4,0
Sugarcane,84.71,Excellent,Potassium,Moderately Fertile,7,0,7,2
Wheat,79.79,Good,Phosphorus,Moderately Fertile,9,1,5,2
Cotton,89.68,Excellent,None,Fertile,0,0,4,0
Jute,78.15,Good,Nitrogen,Moderately Fertile,2,1,0,2
Rice,67.66,Good,"Phosphorus, Potassium",Infertile,5,1,6,1
Soybean,79.38,Good,None,Fertile,6,1,4,0
Sugarcane,91.08,Excellent,None,Fertile,7,0,4,0
Wheat,79.33,Good,Phosphorus,Moderately Fertile,9,1,5,2
Tomato,80.35,Excellent,None,Fertile,8,0,4,0
Potato,67.78,Good,"Phosphorus, Potassium",Infertile,4,1,6,1
Maize,93.47,Excellent,None,Fertile,3,0,4,0
Jute,70.89,Good,Nitrogen,Moderately Fertile,2,1,0,2
Maize,88.17,Excellent,None,Fertile,3,0,4,0
Tomato,58.44,Moderate,Potassium,Moderately Fertile,8,2,7,2
Maize,73.1,Good,Potassium,Moderately Fertile,3,1,7,2
Wheat,65.84,Good,Phosphorus,Moderately Fertile,9,1,5,2
Wheat,81.44,Excellent,Potassium,Moderately Fertile,9,0,7,2
Sugarcane,70.7,Good,"Phosphorus, Potassium",Infertile,7,1,6,1
Maize,88.73,Excellent,None,Fertile,3,0,4,0
Rice,71.99,Good,Potassium,Moderately Fertile,5,1,7,2
Soybean,63.15,Good,"Phosphorus, Potassium",Infertile,6,1,6,1
Wheat,79.55,Good,Phosphorus,Moderately Fertile,9,1,5,2
Tomato,57.4,Moderate,"Nitrogen, Phosphorus",Infertile,8,2,1,1
Maize,78.84,Good,None,Fertile,3,1,4,0
Rice,83.27,Excellent,None,Fertile,5,0,4,0
Groundnut,89.39,Excellent,None,Fertile,1,0,4,0
Rice,78.51,Good,Potassium,Moderately Fertile,5,1,7,2
Potato,60.11,Good,"Phosphorus, Potassium",Infertile,4,1,6,1
Tomato,76.69,Good,Potassium,Moderately Fertile,8,1,7,2
Groundnut,56.69,Moderate,"Nitrogen, Potassium",Infertile,1,2,3,1
Maize,73.49,Good,Potassium,Moderately Fertile,3,1,7,2
Soybean,70.59,Good,Phosphorus,Moderately Fertile,6,1,5,2
Soybean,67.29,Good,Potassium,Moderately Fertile,6,1,7,2
Jute,75.29,Good,Potassium,Moderately Fertile,2,1,7,2
Tomato,69.2,Good,"Phosphorus, Potassium",Infertile,8,1,6,1
Tomato,57.1,Moderate,Nitrogen,Moderately Fertile,8,2,0,2
Potato,71.67,Good,Nitrogen,Moderately Fertile,4,1,0,2
Sugarcane,79.47,Good,None,Fertile,7,1,4,0
Rice,73.74,Good,Potassium,Moderately Fertile,5,1,7,2
Potato,72.84,Good,Potassium,Moderately Fertile,4,1,7,2
Groundnut,60.46,Good,"Phosphorus, Potassium",Infertile,1,1,6,1
Tomato,88.21,Excellent,None,Fertile,8,0,4,0
Potato,85.89,Excellent,Potassium,Moderately Fertile,4,0,7,2
Sugarcane,78.4,Good,None,Fertile,7,1,4,0
Soybean,83.92,Excellent,Phosphorus,Moderately Fertile,6,0,5,2
Tomato,77.79,Good,Nitrogen,Moderately Fertile,8,1,0,2
Wheat,70.8,Good,"Phosphorus, Potassium",Infertile,9,1,6,1
Groundnut,72.61,Good,Potassium,Moderately Fertile,1,1,7,2
Cotton,78.09,Good,Potassium,Moderately Fertile,0,1,7,2
Wheat,82.81,Excellent,None,Fertile,9,0,4,0
Cotton,59.54,Moderate,"Nitrogen, Phosphorus, Potassium",Infertile,0,2,2,1
Sugarcane,89.18,Excellent,None,Fertile,7,0,4,0
Wheat,88.49,Excellent,Potassium,Moderately Fertile,9,0,7,2
Rice,68.3,Good,Potassium,Moderately Fertile,5,1,7,2
Soybean,64.38,Good,Potassium,Moderately Fertile,6,1,7,2
Groundnut,84.21,Excellent,None,Fertile,1,0,4,0
Rice,86.53,Excellent,None,Fertile,5,0,4,0
Sugarcane,84.89,Excellent,None,Fertile,7,0,4,0
Rice,85.22,Excellent,None,Fertile,5,0,4,0
Cotton,84.48,Excellent,None,Fertile,0,0,4,0
Maize,66.11,Good,"Nitrogen, Potassium",Infertile,3,1,3,1
Jute,86.72,Excellent,None,Fertile,2,0,4,0
Maize,90.28,Excellent,None,Fertile,3,0,4,0
Sugarcane,92.42,Excellent,None,Fertile,7,0,4,0
Sugarcane,68.76,Good,"Nitrogen, Potassium",Infertile,7,1,3,1
Jute,83.91,Excellent,Phosphorus,Moderately Fertile,2,0,5,2
Cotton,91.17,Excellent,None,Fertile,0,0,4,0
Rice,72.7,Good,Potassium,Moderately Fertile,5,1,7,2
Maize,86.89,Excellent,None,Fertile,3,0,4,0
Groundnut,59.59,Moderate,"Nitrogen, Phosphorus",Infertile,1,2,1,1
Cotton,87.28,Excellent,None,Fertile,0,0,4,0
Soybean,73.74,Good,"Nitrogen, Potassium",Infertile,6,1,3,1
Maize,81.05,Excellent,None,Fertile,3,0,4,0
Maize,71.05,Good,Potassium,Moderately Fertile,3,1,7,2
Wheat,66.68,Good,"Phosphorus, Potassium",Infertile,9,1,6,1
Groundnut,75.84,Good,Phosphorus,Moderately Fertile,1,1,5,2
Potato,64.63,Good,Potassium,Moderately Fertile,4,1,7,2
Jute,69.36,Good,Nitrogen,Moderately Fertile,2,1,0,2
Maize,82.92,Excellent,None,Fertile,3,0,4,0
Groundnut,65.03,Good,Nitrogen,Moderately Fertile,1,1,0,2
Potato,81.92,Excellent,None,Fertile,4,0,4,0
Rice,72.61,Good,Phosphorus,Moderately Fertile,5,1,5,2
Tomato,81.78,Excellent,None,Fertile,8,0,4,0
Potato,71.04,Good,"Phosphorus, Potassium",Infertile,4,1,6,1
Sugarcane,69.25,Good,Phosphorus,Moderately Fertile,7,1,5,2
Jute,83.29,Excellent,None,Fertile,2,0,4,0
Sugarcane,80.21,Excellent,Nitrogen,Moderately Fertile,7,0,0,2
Potato,65.5,Good,Nitrogen,Moderately Fertile,4,1,0,2
Cotton,87.72,Excellent,None,Fertile,0,0,4,0
Cotton,90.67,Excellent,None,Fertile,0,0,4,0
Tomato,84.47,Excellent,None,Fertile,8,0,4,0
Wheat,71.35,Good,Nitrogen,Moderately Fertile,9,1,0,2
Jute,79.81,Good,None,Fertile,2,1,4,0
Sugarcane,79.39,Good,None,Fertile,7,1,4,0
Sugarcane,72.59,Good,Potassium,Moderately Fertile,7,1,7,2
Jute,75.82,Good,None,Fertile,2,1,4,0
Rice,86.73,Excellent,None,Fertile,5,0,4,0
Rice,80.18,Excellent,Nitrogen,Moderately Fertile,5,0,0,2
Sugarcane,83.39,Excellent,None,Fertile,7,0,4,0
Wheat,65.63,Good,Phosphorus,Moderately Fertile,9,1,5,2
Sugarcane,70.9,Good,"Phosphorus, Potassium",Infertile,7,1,6,1
Wheat,84.67,Excellent,Potassium,Moderately Fertile,9,0,7,2
Potato,68.19,Good,"Phosphorus, Potassium",Infertile,4,1,6,1
Cotton,93.5,Excellent,None,Fertile,0,0,4,0
Soybean,85.68,Excellent,None,Fertile,6,0,4,0
Soybean,77.79,Good,Potassium,Moderately Fertile,6,1,7,2
Cotton,84.02,Excellent,None,Fertile,0,0,4,0
Jute,71.64,Good,Potassium,Moderately Fertile,2,1,7,2
Rice,77.51,Good,Phosphorus,Moderately Fertile,5,1,5,2
Maize,86.22,Excellent,None,Fertile,3,0,4,0
Tomato,76.06,Good,"Phosphorus, Potassium",Infertile,8,1,6,1
Wheat,73.72,Good,Phosphorus,Moderately Fertile,9,1,5,2
Sugarcane,74.8,Good,Phosphorus,Moderately Fertile,7,1,5,2
Groundnut,61.23,Good,"Nitrogen, Potassium",Infertile,1,1,3,1
Jute,84.19,Excellent,Phosphorus,Moderately Fertile,2,0,5,2
Jute,62.37,Good,"Nitrogen, Phosphorus, Potassium",Infertile,2,1,2,1
Maize,82.49,Excellent,None,Fertile,3,0,4,0
Wheat,76.67,Good,Potassium,Moderately Fertile,9,1,7,2
Maize,85.37,Excellent,None,Fertile,3,0,4,0
Jute,68.96,Good,Potassium,Moderately Fertile,2,1,7,2
Rice,77.98,Good,Potassium,Moderately Fertile,5,1,7,2
Jute,79.38,Good,Potassium,Moderately Fertile,2,1,7,2
Soybean,83.54,Excellent,Potassium,Moderately Fertile,6,0,7,2
Soybean,64.66,Good,"Phosphorus, Potassium",Infertile,6,1,6,1
Wheat,82.28,Excellent,Potassium,Moderately Fertile,9,0,7,2
Wheat,71.38,Good,"Phosphorus, Potassium",Infertile,9,1,6,1
Soybean,83.35,Excellent,Phosphorus,Moderately Fertile,6,0,5,2
Tomato,82.43,Excellent,None,Fertile,8,0,4,0
Wheat,62.87,Good,"Phosphorus, Potassium",Infertile,9,1,6,1
Groundnut,65.62,Good,Phosphorus,Moderately Fertile,1,1,5,2
Maize,72.22,Good,Phosphorus,Moderately Fertile,3,1,5,2
Cotton,84.27,Excellent,None,Fertile,0,0,4,0
Jute,91.73,Excellent,None,Fertile,2,0,4,0
Rice,82.14,Excellent,None,Fertile,5,0,4,0
Sugarcane,87.37,Excellent,None,Fertile,7,0,4,0
Potato,71.65,Good,None,Fertile,4,1,4,0
Soybean,70.66,Good,Potassium,Moderately Fertile,6,1,7,2
Rice,74.73,Good,Potassium,Moderately Fertile,5,1,7,2
Jute,83.16,Excellent,None,Fertile,2,0,4,0
Maize,89.45,Excellent,None,Fertile,3,0,4,0
Groundnut,82.28,Excellent,Potassium,Moderately Fertile,1,0,7,2
Groundnut,68.93,Good,"Phosphorus, Potassium",Infertile,1,1,6,1
Jute,66.64,Good,"Nitrogen, Potassium",Infertile,2,1,3,1
Soybean,90.65,Excellent,None,Fertile,6,0,4,0
Soybean,68.23,Good,"Nitrogen, Phosphorus",Infertile,6,1,1,1
Cotton,81.1,Excellent,None,Fertile,0,0,4,0
Potato,70.05,Good,"Phosphorus, Potassium",Infertile,4,1,6,1
Sugarcane,79.43,Good,None,Fertile,7,1,4,0
Groundnut,51.04,Moderate,"Nitrogen, Phosphorus, Potassium",Infertile,1,2,2,1
Tomato,82.02,Excellent,Phosphorus,Moderately Fertile,8,0,5,2
Groundnut,74.49,Good,None,Fertile,1,1,4,0
Wheat,92.26,Excellent,None,Fertile,9,0,4,0
Sugarcane,68.91,Good,Nitrogen,Moderately Fertile,7,1,0,2
Rice,70.24,Good,Nitrogen,Moderately Fertile,5,1,0,2
Groundnut,90.8,Excellent,None,Fertile,1,0,4,0
Cotton,82.43,Excellent,None,Fertile,0,0,4,0
Tomato,72.01,Good,Phosphorus,Moderately Fertile,8,1,5,2
Potato,69.57,Good,Phosphorus,Moderately Fertile,4,1,5,2
Groundnut,70.16,Good,Nitrogen,Moderately Fertile,1,1,0,2
Wheat,77.15,Good,None,Fertile,9,1,4,0
Potato,60.96,Good,"Phosphorus, Potassium",Infertile,4,1,6,1
Wheat,77.8,Good,Potassium,Moderately Fertile,9,1,7,2
Maize,67.04,Good,"Nitrogen, Potassium",Infertile,3,1,3,1
Jute,72.26,Good,Phosphorus,Moderately Fertile,2,1,5,2
Potato,69.44,Good,Phosphorus,Moderately Fertile,4,1,5,2
Soybean,61.42,Good,"Nitrogen, Phosphorus, Potassium",Infertile,6,1,2,1
Sugarcane,58.07,Moderate,"Nitrogen, Phosphorus",Infertile,7,2,1,1
Groundnut,65.28,Good,Nitrogen,Moderately Fertile,1,1,0,2
Jute,73.6,Good,Nitrogen,Moderately Fertile,2,1,0,2
Rice,83.38,Excellent,None,Fertile,5,0,4,0
Sugarcane,70.27,Good,Potassium,Moderately Fertile,7,1,7,2
Tomato,87.94,Excellent,None,Fertile,8,0,4,0
Soybean,90.94,Excellent,None,Fertile,6,0,4,0
Potato,64.0,Good,"Phosphorus, Potassium",Infertile,4,1,6,1
Jute,69.56,Good,Potassium,Moderately Fertile,2,1,7,2
Maize,73.01,Good,Phosphorus,Moderately Fertile,3,1,5,2
Groundnut,58.07,Moderate,"Nitrogen, Potassium",Infertile,1,2,3,1
Tomato,77.62,Good,Potassium,Moderately Fertile,8,1,7,2
Potato,78.04,Good,Potassium,Moderately Fertile,4,1,7,2
Jute,75.94,Good,Potassium,Moderately Fertile,2,1,7,2
Cotton,81.55,Excellent,Potassium,Moderately Fertile,0,0,7,2
Soybean,79.79,Good,None,Fertile,6,1,4,0
Maize,79.32,Good,None,Fertile,3,1,4,0
Maize,66.15,Good,"Nitrogen, Phosphorus",Infertile,3,1,1,1
Rice,78.24,Good,Phosphorus,Moderately Fertile,5,1,5,2
Maize,72.32,Good,Potassium,Moderately Fertile,3,1,7,2
Groundnut,48.99625000000002,Moderate,"Nitrogen, Phosphorus",Infertile,1,2,1,1
Cotton,79.86,Good,Potassium,Moderately Fertile,0,1,7,2
Jute,90.55,Excellent,None,Fertile,2,0,4,0
Sugarcane,81.05,Excellent,Nitrogen,Moderately Fertile,7,0,0,2
Cotton,91.5,Excellent,Potassium,Moderately Fertile,0,0,7,2
Tomato,59.41,Moderate,"Nitrogen, Potassium",Infertile,8,2,3,1
Groundnut,91.39,Excellent,None,Fertile,1,0,4,0
Sugarcane,79.21,Good,Potassium,Moderately Fertile,7,1,7,2
Groundnut,61.17,Good,Nitrogen,Moderately Fertile,1,1,0,2
Jute,77.01,Good,None,Fertile,2,1,4,0
Soybean,90.55,Excellent,None,Fertile,6,0,4,0
Cotton,82.6,Excellent,Potassium,Moderately Fertile,0,0,7,2
Wheat,79.32,Good,None,Fertile,9,1,4,0
Soybean,76.33,Good,Nitrogen,Moderately Fertile,6,1,0,2
Groundnut,60.36,Good,Phosphorus,Moderately Fertile,1,1,5,2
Wheat,89.22,Excellent,None,Fertile,9,0,4,0
Jute,76.09,Good,Potassium,Moderately Fertile,2,1,7,2
Jute,61.37,Good,"Nitrogen, Phosphorus",Infertile,2,1,1,1
Groundnut,75.46,Good,None,Fertile,1,1,4,0
Sugarcane,81.47,Excellent,Potassium,Moderately Fertile,7,0,7,2
Soybean,81.47,Excellent,Potassium,Moderately Fertile,6,0,7,2
Cotton,69.84,Good,Nitrogen,Moderately Fertile,0,1,0,2
Sugarcane,83.23,Excellent,Phosphorus,Moderately Fertile,7,0,5,2
Tomato,60.0,Good,"Phosphorus, Potassium",Infertile,8,1,6,1
Wheat,79.15,Good,"Phosphorus, Potassium",Infertile,9,1,6,1
Maize,85.29,Excellent,Potassium,Moderately Fertile,3,0,7,2
Maize,74.74,Good,Potassium,Moderately Fertile,3,1,7,2
Soybean,76.68,Good,Phosphorus,Moderately Fertile,6,1,5,2
Soybean,71.64,Good,"Nitrogen, Potassium",Infertile,6,1,3,1
Cotton,91.8,Excellent,None,Fertile,0,0,4,0
Tomato,74.19,Good,Nitrogen,Moderately Fertile,8,1,0,2
Wheat,85.95,Excellent,None,Fertile,9,0,4,0
Rice,82.75,Excellent,Potassium,Moderately Fertile,5,0,7,2
Maize,80.49,Excellent,None,Fertile,3,0,4,0
Maize,80.92,Excellent,Potassium,Moderately Fertile,3,0,7,2
Potato,62.31,Good,"Nitrogen, Potassium",Infertile,4,1,3,1
Soybean,92.5,Excellent,None,Fertile,6,0,4,0
Sugarcane,55.8,Moderate,"Nitrogen, Potassium",Infertile,7,2,3,1
Groundnut,71.79,Good,Phosphorus,Moderately Fertile,1,1,5,2
Soybean,64.26,Good,"Phosphorus, Potassium",Infertile,6,1,6,1
Wheat,76.12,Good,None,Fertile,9,1,4,0
Soybean,88.81,Excellent,None,Fertile,6,0,4,0
Rice,67.84,Good,"Phosphorus, Potassium",Infertile,5,1,6,1
Cotton,68.63,Good,Phosphorus,Moderately Fertile,0,1,5,2
Sugarcane,78.38,Good,Phosphorus,Moderately Fertile,7,1,5,2
Groundnut,59.82,Moderate,Nitrogen,Moderately Fertile,1,2,0,2
Soybean,59.38,Moderate,"Phosphorus, Potassium",Infertile,6,2,6,1
Groundnut,76.55,Good,None,Fertile,1,1,4,0
Wheat,67.73,Good,"Phosphorus, Potassium",Infertile,9,1,6,1
Jute,59.64,Moderate,"Phosphorus, Potassium",Infertile,2,2,6,1
Groundnut,52.53,Moderate,"Phosphorus, Potassium",Infertile,1,2,6,1
Wheat,71.68,Good,"Phosphorus, Potassium",Infertile,9,1,6,1
Rice,77.48,Good,None,Fertile,5,1,4,0
Maize,83.98,Excellent,Phosphorus,Moderately Fertile,3,0,5,2
Jute,68.77,Good,Potassium,Moderately Fertile,2,1,7,2
Soybean,79.66,Good,Potassium,Moderately Fertile,6,1,7,2
Cotton,85.95,Excellent,None,Fertile,0,0,4,0
Maize,73.39,Good,Phosphorus,Moderately Fertile,3,1,5,2
Potato,82.2,Excellent,None,Fertile,4,0,4,0
Sugarcane,70.35,Good,Nitrogen,Moderately Fertile,7,1,0,2
Tomato,71.96,Good,None,Fertile,8,1,4,0
Rice,70.54,Good,Phosphorus,Moderately Fertile,5,1,5,2
Tomato,74.9,Good,Potassium,Moderately Fertile,8,1,7,2
Wheat,76.7,Good,Potassium,Moderately Fertile,9,1,7,2
Soybean,84.28,Excellent,None,Fertile,6,0,4,0
Groundnut,58.62,Moderate,"Nitrogen, Phosphorus",Infertile,1,2,1,1
Wheat,94.68,Excellent,None,Fertile,9,0,4,0
Soybean,65.8,Good,"Nitrogen, Phosphorus",Infertile,6,1,1,1
Tomato,90.43,Excellent,None,Fertile,8,0,4,0
Jute,79.4,Good,Potassium,Moderately Fertile,2,1,7,2
Rice,61.09,Good,"Nitrogen, Phosphorus",Infertile,5,1,1,1
Soybean,82.1,Excellent,"Phosphorus, Potassium",Infertile,6,0,6,1
Tomato,76.75,Good,Phosphorus,Moderately Fertile,8,1,5,2
Potato,70.79,Good,None,Fertile,4,1,4,0
Jute,75.13,Good,Phosphorus,Moderately Fertile,2,1,5,2
Jute,71.56,Good,"Phosphorus, Potassium",Infertile,2,1,6,1
Sugarcane,91.18,Excellent,None,Fertile,7,0,4,0
Rice,92.72,Excellent,None,Fertile,5,0,4,0
Sugarcane,73.04,Good,Nitrogen,Moderately Fertile,7,1,0,2
Jute,85.93,Excellent,None,Fertile,2,0,4,0
Jute,89.76,Excellent,None,Fertile,2,0,4,0
Maize,70.67,Good,"Phosphorus, Potassium",Infertile,3,1,6,1
Jute,77.83,Good,Phosphorus,Moderately Fertile,2,1,5,2
Wheat,83.06,Excellent,Potassium,Moderately Fertile,9,0,7,2
Soybean,88.69,Excellent,None,Fertile,6,0,4,0
Wheat,60.73,Good,"Phosphorus, Potassium",Infertile,9,1,6,1
Soybean,57.64,Moderate,"Nitrogen, Phosphorus",Infertile,6,2,1,1
Potato,83.35,Excellent,None,Fertile,4,0,4,0
Sugarcane,92.83,Excellent,None,Fertile,7,0,4,0
Jute,67.21,Good,"Phosphorus, Potassium",Infertile,2,1,6,1
Rice,87.9,Excellent,None,Fertile,5,0,4,0
Sugarcane,57.68,Moderate,"Nitrogen, Phosphorus, Potassium",Infertile,7,2,2,1
Maize,70.68,Good,Potassium,Moderately Fertile,3,1,7,2
Sugarcane,86.53,Excellent,None,Fertile,7,0,4,0
Potato,87.44,Excellent,None,Fertile,4,0,4,0
Soybean,68.83,Good,"Nitrogen, Phosphorus, Potassium",Infertile,6,1,2,1
Jute,76.47,Good,Potassium,Moderately Fertile,2,1,7,2
Jute,77.59,Good,Potassium,Moderately Fertile,2,1,7,2
Potato,78.27,Good,Potassium,Moderately Fertile,4,1,7,2
Tomato,50.3,Moderate,"Nitrogen, Phosphorus, Potassium",Infertile,8,2,2,1
Cotton,88.14,Excellent,None,Fertile,0,0,4,0
Potato,77.79,Good,Potassium,Moderately Fertile,4,1,7,2
Soybean,64.14,Good,"Phosphorus, Potassium",Infertile,6,1,6,1
Groundnut,76.93,Good,Nitrogen,Moderately Fertile,1,1,0,2
Jute,87.32,Excellent,None,Fertile,2,0,4,0
Potato,49.95,Moderate,"Nitrogen, Potassium",Infertile,4,2,3,1
Groundnut,59.46,Moderate,"Nitrogen, Potassium",Infertile,1,2,3,1
Maize,67.68,Good,Potassium,Moderately Fertile,3,1,7,2
Groundnut,67.25,Good,Nitrogen,Moderately Fertile,1,1,0,2
Jute,84.7,Excellent,None,Fertile,2,0,4,0
Groundnut,81.06,Excellent,None,Fertile,1,0,4,0
