Soil_Type,Nitrogen,Phosphorus,Potassium,pH,Organic_Carbon,Electrical_Conductivity,Temperature,Humidity,Soil_Type_enc
Loamy,87.69,6.83,159.73,7.37,0.93,0.35,18.94,49.15,3
Clayey,100.98,4.1,195.92,6.65,0.92,1.94,36.74,80.29,2
Alluvial,80.99,2.62,39.03,6.71,0.52,0.97,32.1,72.91,0
Loamy,121.1,65.24,160.33,7.44,0.65,1.23,19.73,92.7,3
Alluvial,112.39,14.13,197.48,6.97,1.18,1.36,18.88,72.35,0
Black,87.96,73.63,216.27,7.35,1.68,0.67,19.1,65.03,1
Sandy,32.05,42.36,173.11,6.4,0.29,0.36,34.08,69.61,4
Silty,128.72,52.31,264.77,6.03,0.42,1.32,33.98,94.89,5
Black,80.27,51.8,213.07,7.32,1.13,0.96,18.07,65.7,1
Black,85.25,19.96,269.1,7.34,1.885,0.46,33.96,54.24,1
Sandy,6.99,9.66,87.64,5.61,0.5,0.31,34.61,46.62,4
Black,97.25,30.82,158.81,7.98,1.06,1.13,27.82,94.8,1
Sandy,74.57,48.13,41.09,6.16,0.44,0.21,35.04,41.95,4
Alluvial,13.48,86.97,57.37,6.07,0.4,1.07,35.89,94.53,0
Clayey,128.13,29.62,30.97,7.15,1.38,1.97,21.21,58.37,2
Loamy,61.6,36.81,18.61,7.24,1.1,0.14,21.22,84.99,3
Clayey,120.19,18.56,220.26,7.19,0.83,1.77,28.83,92.96,2
Loamy,119.39,66.69,148.39,6.25,1.02,1.43,19.16,44.11,3
Black,79.12,49.09,222.6,7.23,1.71,0.43,31.67,64.52,1
Silty,11.51,28.4,62.83,7.26,1.06,0.52,35.36,92.98,5
Alluvial,115.2,69.67,80.09,6.48,0.75,0.54,35.36,79.32,0
Sandy,10.89,73.74,27.95,6.4,0.16,0.21,36.24,93.21,4
Alluvial,79.33,57.22,138.31,6.98,0.58,0.33,37.69,48.23,0
Loamy,8.27,69.93,66.48,7.36,1.01,1.43,20.06,71.4,3
Loamy,57.43,75.96,119.45,7.32,0.46,0.85,24.44,93.76,3
Alluvial,103.53,59.33,183.24,7.34,1.16,0.27,23.98,91.44,0
Loamy,107.92,52.11,212.9,6.68,0.84,1.24,19.63,43.32,3
Alluvial,109.28,49.86,168.84,7.18,0.67,0.35,32.38,52.57,0
Alluvial,91.64,79.46,211.79,6.39,0.46,0.14,32.85,63.4,0
Loamy,93.8,79.87,255.18,7.09,0.86,0.71,26.43,55.23,3
Alluvial,7.68,5.24,123.21,6.61,0.59,1.19,28.25,62.72,0
Loamy,85.91,78.64,32.26,6.47,0.48,1.01,29.77,72.93,3
Alluvial,63.12,45.95,176.97,7.0,0.66,0.73,36.97,53.89,0
Black,100.23,7.12,38.55,8.32,1.65,1.02,37.73,46.76,1
Black,85.76,48.39,201.49,8.09,0.92,1.22,18.35,57.77,1
Loamy,113.42,26.15,198.36,6.46,0.51,0.14,37.4,45.16,3
Sandy,94.75,59.43,247.23,6.66,0.44,0.38,29.41,41.67,4
Black,109.21,89.95,42.05,7.34,1.27,1.31,37.54,62.38,1
Silty,9.08,4.6,229.45,7.0,0.72,0.56,26.71,84.98,5
Loamy,83.59,28.18,48.3,6.36,0.71,0.73,30.07,76.75,3
Silty,84.22,41.91,175.04,6.51,0.78,0.14,28.67,73.43,5
Clayey,108.92,40.41,79.29,8.1,1.41,0.64,27.58,50.7,2
Clayey,60.97,6.54,200.28,6.91,1.24,1.05,21.63,68.88,2
Alluvial,106.98,86.11,180.4,6.07,1.04,0.87,34.38,88.63,0
Alluvial,10.11,31.98,235.65,6.36,1.12,0.59,26.47,76.72,0
Silty,78.1,3.13,81.55,6.27,0.78,0.85,30.76,54.13,5
Loamy,51.42,37.29,234.68,7.09,0.75,0.72,30.06,58.55,3
Black,105.54,45.39,237.97,7.65,1.28,0.91,31.39,43.85,1
Clayey,84.06,9.69,278.87,6.12,1.01,0.88,26.93,58.35,2
Silty,81.28,63.19,228.86,7.13,0.48,0.73,36.54,52.91,5
Loamy,58.02,4.43,61.93,6.94,1.07,0.83,34.52,83.01,3
Loamy,85.73,45.78,180.15,6.46,1.15,0.88,28.31,90.57,3
Silty,7.24,79.44,231.48,6.57,0.49,1.24,33.8,56.76,5
Alluvial,127.58,83.82,151.77,6.2,0.91,1.25,30.13,82.06,0
Sandy,58.16,53.96,29.22,5.73,0.13,0.06,26.65,57.15,4
Alluvial,69.06,48.77,33.48,6.29,0.71,0.89,30.39,56.35,0
Black,123.26,9.09,106.56,8.5,0.87,1.11,30.48,68.99,1
Black,136.74,29.89,63.45,7.7,1.38,0.65,26.37,83.47,1
Black,55.82,13.41,13.82,7.46,1.8,1.28,23.32,75.53,1
Alluvial,127.36,41.39,269.06,6.92,0.92,1.23,20.66,45.62,0
Alluvial,94.59,40.91,39.65,7.24,0.6,1.19,22.54,88.92,0
Loamy,122.19,18.43,38.89,6.99,0.43,1.14,28.17,61.32,3
Black,124.75,15.5,136.07,7.91,1.23,0.98,19.65,68.31,1
Loamy,8.17,5.89,149.56,6.39,0.41,0.46,35.92,57.72,3
Loamy,83.84,54.01,127.16,6.14,0.49,0.94,21.27,55.06,3
Clayey,132.7,30.18,218.76,7.86,1.33,2.22,27.21,86.31,2
Loamy,61.86,68.08,234.45,6.25,1.15,0.16,22.27,67.82,3
Silty,107.27,70.89,70.02,7.31,0.85,1.06,27.23,40.51,5
Sandy,115.98,8.09,32.37,6.44,0.42,0.12,25.11,83.11,4
Loamy,92.33,50.16,29.89,7.26,0.94,1.16,25.71,75.39,3
Loamy,4.93,42.19,24.6,6.27,0.42,0.33,28.2,79.79,3
Loamy,55.27,36.74,19.85,6.12,1.06,0.8,32.15,83.37,3
Loamy,139.85,5.28,190.64,7.1,0.58,0.94,26.42,74.99,3
Loamy,64.88,66.02,35.58,7.47,0.56,0.89,29.73,78.37,3
Alluvial,134.36,66.48,11.72,6.65,0.77,0.77,19.0,89.72,0
Silty,54.01,12.9,98.93,6.42,0.78,0.12,23.51,83.29,5
Sandy,5.08,54.96,116.48,5.58,0.16,0.35,24.3,82.45,4
Sandy,41.22,49.56,274.89,6.84,0.26,0.34,20.9,79.88,4
Black,58.0,64.7,166.28,7.74,0.83,1.41,37.61,52.51,1
Clayey,62.69,63.14,84.02,6.94,0.8,2.19,19.95,87.41,2
Loamy,68.12,30.69,71.18,7.18,0.77,0.17,24.6,81.62,3
Loamy,119.48,12.17,29.7,7.48,0.59,0.73,27.28,90.01,3
Silty,97.1,32.97,228.21,6.31,1.02,1.45,29.55,74.9,5
Loamy,127.15,82.49,99.23,6.48,0.96,1.21,37.67,47.74,3
Alluvial,95.47,87.37,134.44,7.21,0.47,1.34,37.68,76.74,0
Black,130.12,16.35,212.87,8.14,1.47,1.14,21.75,87.2,1
Silty,11.35,80.39,161.36,6.38,0.92,0.54,22.89,46.21,5
Black,116.43,4.52,30.45,7.95,1.54,1.01,23.08,41.71,1
Sandy,80.63,79.31,83.88,5.63,0.5,0.08,25.21,43.77,4
Alluvial,108.57,79.94,30.05,7.35,1.05,0.18,21.38,61.44,0
Black,116.59,83.45,100.01,7.25,0.93,0.99,35.17,56.07,1
Black,5.14,5.75,58.15,8.28,1.67,0.83,32.07,69.74,1
Clayey,128.95,80.18,112.6,6.14,1.26,1.7,24.81,94.4,2
Black,124.82,57.92,58.73,7.28,1.83,1.13,19.88,90.03,1
Clayey,62.38,37.27,71.21,7.02,0.67,2.32,21.41,92.15,2
Loamy,73.64,31.73,11.19,7.46,0.59,1.2,37.68,54.79,3
Loamy,92.57,59.8,147.44,6.68,0.59,0.76,26.95,66.09,3
Alluvial,89.47,27.48,129.2,6.69,1.08,0.5,18.89,55.28,0
Clayey,54.04,46.05,262.36,7.49,1.12,0.56,21.3,61.44,2
Clayey,50.19,67.41,237.4,7.9,1.46,1.94,18.81,87.94,2
Alluvial,86.38,35.69,217.46,7.35,0.88,0.87,26.25,75.54,0
Loamy,7.49,82.2,46.61,7.09,0.89,1.32,28.68,47.82,3
Alluvial,108.71,77.65,203.12,7.09,0.85,0.58,26.6,77.01,0
Alluvial,78.7,56.58,122.79,6.65,1.09,1.38,30.02,78.81,0
Clayey,52.29,61.67,189.23,6.34,1.4,1.19,24.81,43.94,2
Alluvial,3.29,87.76,87.12,6.16,0.86,0.88,37.55,69.26,0
Alluvial,131.01,19.29,268.98,6.43,1.0,0.74,24.28,88.86,0
Black,99.83,53.34,220.48,7.4,1.21,1.16,34.67,64.22,1
Clayey,81.25,56.44,64.8,7.23,0.84,2.43,26.88,74.44,2
Alluvial,63.32,78.2,207.72,7.1,1.03,0.75,36.14,47.28,0
Sandy,11.81,12.76,272.4,6.66,0.32,0.07,36.98,68.21,4
Alluvial,132.69,38.98,211.43,6.91,0.85,0.72,35.89,65.08,0
Loamy,14.63,33.87,90.1,6.0,1.2,0.18,24.24,54.08,3
Alluvial,106.93,61.56,234.95,6.79,0.42,1.32,24.67,80.32,0
Alluvial,80.76,60.63,47.26,6.07,0.47,0.1,18.11,91.54,0
Clayey,111.87,11.96,13.03,6.62,0.96,1.95,28.98,74.76,2
Loamy,93.04,21.62,207.53,6.36,0.49,1.28,31.34,51.61,3
Loamy,99.41,27.54,38.42,7.26,0.42,0.92,22.29,62.89,3
Silty,13.92,28.77,105.8,6.79,0.84,0.99,23.8,70.98,5
Alluvial,59.25,25.12,225.75,6.6,0.98,0.48,32.3,72.64,0
Sandy,16.5,55.2,246.64,6.91,0.13,0.38,29.44,89.9,4
Loamy,133.72,77.54,198.96,6.85,0.49,0.16,20.78,53.98,3
Silty,139.95,7.08,154.64,6.95,0.62,0.77,25.7,87.62,5
Silty,69.08,62.59,148.07,7.28,0.73,1.25,35.6,51.87,5
Loamy,85.56,2.89,79.8,6.97,0.99,0.54,35.8,55.81,3
Alluvial,61.19,5.71,153.22,6.03,0.7,0.57,26.09,69.2,0
Silty,61.84,78.57,173.84,6.33,0.76,0.47,19.53,61.04,5
Black,13.68,33.98,191.61,7.68,1.42,0.89,37.48,86.59,1
Sandy,22.33,48.73,216.86,5.89,0.22,0.07,27.48,43.18,4
Alluvial,115.31,59.58,254.02,6.31,0.85,1.19,34.94,57.33,0
Black,80.36,68.0,164.7,8.43,1.57,1.53,19.21,77.95,1
Silty,81.88,85.93,270.58,7.14,0.73,0.52,30.42,91.08,5
Clayey,10.28,89.6,161.81,7.48,1.03,2.3,25.84,76.25,2
Silty,56.58,59.79,275.29,6.89,0.61,0.71,21.8,83.59,5
Alluvial,77.9,28.56,144.56,7.16,0.71,1.3,33.63,92.81,0
Alluvial,54.15,74.65,74.47,7.21,0.7,0.87,28.29,84.46,0
Silty,54.04,70.88,122.93,7.49,0.72,1.39,25.85,81.48,5
Alluvial,126.25,82.18,249.34,6.62,0.71,0.9,37.49,41.51,0
Clayey,7.59,55.07,136.88,6.95,1.21,0.95,24.53,86.18,2
Black,68.4,30.42,103.92,7.91,1.79,1.64,29.88,41.8,1
Loamy,115.41,4.32,118.15,6.07,0.48,1.26,34.5,68.36,3
Alluvial,115.08,3.53,80.89,6.54,0.87,0.19,18.2,64.06,0
Black,130.64,75.44,93.2,7.99,1.3,1.46,23.43,46.89,1
Loamy,99.0,4.12,71.83,6.12,0.87,1.03,33.61,72.11,3
Black,95.8,39.54,263.23,7.87,1.71,0.54,34.55,78.35,1
Black,67.57,37.63,113.9,8.25,1.83,0.78,37.57,87.11,1
Black,116.1,40.75,36.3,8.22,1.26,0.63,34.78,40.63,1
Alluvial,54.65,50.38,209.61,7.45,1.05,0.87,35.25,49.86,0
Alluvial,110.54,73.73,30.22,7.31,0.65,0.51,30.5,71.45,0
Clayey,134.15,4.67,249.5,6.91,0.95,0.88,30.11,53.59,2
Alluvial,106.91,25.92,134.58,7.01,1.16,1.0,33.02,45.58,0
Loamy,138.11,6.84,77.45,6.82,1.18,0.24,29.64,51.24,3
Clayey,56.93,16.05,267.86,7.33,1.19,2.44,23.95,45.06,2
Alluvial,110.49,5.59,161.44,6.68,0.7,0.89,22.99,40.11,0
Sandy,44.01,42.65,33.85,6.69,0.18,0.26,29.66,53.92,4
Silty,89.02,17.41,217.1,6.01,1.18,0.24,36.29,63.87,5
Alluvial,5.23,17.31,79.82,6.36,0.89,0.99,35.55,80.63,0
Alluvial,103.53,39.78,113.26,6.9,0.74,0.4,35.7,61.08,0
Clayey,119.37,44.2,81.55,6.64,0.83,2.44,33.99,58.35,2
Alluvial,125.03,49.95,163.76,6.96,0.73,1.32,20.89,83.12,0
Alluvial,52.55,26.8,25.49,6.7,0.87,0.67,32.26,40.63,0
Alluvial,90.16,74.47,31.99,7.24,1.0,1.11,36.49,64.38,0
Silty,120.77,60.58,34.87,7.21,1.06,0.4,23.43,52.75,5
Black,91.57,43.16,33.31,7.65,1.75,1.64,23.92,65.26,1
Loamy,96.34,22.91,50.89,7.1,0.4,1.11,18.38,49.12,3
Clayey,85.19,28.74,84.89,6.13,1.15,0.99,37.2,73.9,2
Black,87.08,4.7,30.76,7.85,1.64,0.64,28.65,46.35,1
Loamy,87.73,11.45,228.19,6.76,1.12,0.39,19.38,66.08,3
Loamy,125.9,48.81,113.41,7.23,0.83,1.27,33.83,64.82,3
Black,68.31,7.19,21.26,8.37,1.27,1.52,25.79,69.8,1
Sandy,56.3,4.8,182.1,6.26,0.48,0.06,32.13,60.6,4
Alluvial,59.33,13.89,175.25,6.14,0.7,0.98,26.52,70.14,0
Black,109.62,37.76,127.69,7.7,1.05,1.4,21.17,54.2,1
Alluvial,114.15,40.9,177.13,6.62,1.01,0.53,21.71,72.99,0
Alluvial,121.66,31.76,203.09,6.99,0.71,1.25,23.28,91.65,0
Alluvial,119.91,75.73,145.38,6.09,0.92,1.25,37.67,83.27,0
Sandy,51.22,60.4,244.53,7.01,0.21,0.2,33.68,63.59,4
Black,113.62,87.38,23.97,8.26,0.91,1.45,36.06,91.35,1
Silty,78.15,62.35,35.11,6.85,0.69,1.2,18.29,82.04,5
Alluvial,56.24,61.07,213.25,6.59,0.73,0.66,31.52,47.61,0
Loamy,94.47,78.88,145.29,6.66,0.91,0.76,36.8,67.72,3
Loamy,107.98,87.94,47.45,6.08,1.14,0.98,29.09,81.13,3
Loamy,111.69,12.0,72.86,6.09,0.76,1.43,27.07,65.02,3
Silty,5.0,69.25,53.73,6.96,0.87,1.27,29.88,78.65,5
Black,111.51,40.04,230.02,8.47,1.52,1.1,35.69,46.89,1
Loamy,7.01,3.69,234.24,6.5,1.08,0.19,35.05,91.59,3
Alluvial,137.58,70.74,271.94,6.22,0.48,0.33,26.79,55.31,0
Loamy,137.78,23.61,34.88,6.45,0.69,0.6,33.54,44.21,3
Alluvial,65.68,80.03,140.44,6.0,0.64,0.54,37.68,61.76,0
Sandy,19.96,6.18,61.59,6.63,0.32,0.4,29.25,82.08,4
Silty,121.97,19.86,204.63,6.18,0.95,1.02,26.32,68.26,5
Sandy,58.51,84.59,215.4,6.18,0.31,0.35,23.59,47.24,4
Loamy,100.29,39.69,226.41,6.86,1.12,0.95,23.06,91.64,3
Alluvial,6.89,57.11,217.92,6.78,0.42,0.45,30.47,73.02,0
Silty,12.04,58.8,261.13,7.42,0.64,0.43,33.72,72.45,5
Loamy,113.73,48.06,198.6,6.56,0.96,1.41,33.26,42.5,3
Alluvial,126.77,84.27,279.1,6.42,0.5,0.98,33.92,81.46,0
Sandy,67.99,14.44,172.12,6.54,0.47,0.29,31.03,51.59,4
Loamy,57.88,7.1,134.65,6.65,0.65,1.15,23.85,58.27,3
Sandy,35.32,38.03,258.23,6.52,0.22,0.27,24.8,65.06,4
Clayey,58.01,89.34,165.25,7.87,0.73,1.13,37.7,91.64,2
Loamy,67.05,10.4,45.02,7.37,0.67,0.73,36.1,75.61,3
Clayey,72.45,67.37,23.2,7.9,1.31,1.42,25.14,81.66,2
Alluvial,11.54,48.87,59.23,7.23,0.88,1.31,31.64,92.24,0
Alluvial,102.33,18.47,248.25,6.02,0.44,0.41,28.46,78.48,0
Sandy,82.54,17.37,176.27,5.63,0.41,0.08,22.53,89.26,4
Black,3.5,6.19,37.94,7.52,1.7,1.19,33.64,53.2,1
Clayey,9.25,16.12,253.97,7.98,0.72,1.88,33.88,48.71,2
Sandy,29.23,46.73,105.82,6.9,0.25,0.33,36.65,46.53,4
Alluvial,9.97,54.98,208.69,6.98,0.73,0.33,19.37,62.97,0
Silty,123.32,58.95,123.36,7.25,0.84,0.66,23.11,45.82,5
Clayey,53.77,43.53,72.05,7.82,0.76,0.81,35.59,70.64,2
Silty,107.19,60.39,130.8,7.37,1.11,1.41,33.05,69.22,5
Loamy,119.13,50.04,138.44,6.16,1.15,0.43,22.99,70.11,3
Sandy,79.19,5.06,82.72,6.68,0.43,0.3,35.14,85.12,4
Alluvial,77.4,25.85,46.42,6.65,0.55,0.74,35.74,63.09,0
Loamy,112.14,3.88,231.24,7.09,0.75,1.22,19.05,48.78,3
Sandy,11.8,84.15,83.42,5.97,0.21,0.15,26.4,40.53,4
Silty,137.64,53.54,98.81,6.6,0.43,0.92,32.19,54.93,5
Loamy,70.35,75.38,16.33,6.34,1.07,1.23,19.91,64.75,3
Alluvial,85.51,52.4,18.05,6.5,0.79,0.72,29.44,84.3,0
Alluvial,85.27,65.77,78.36,6.05,0.94,0.18,30.83,54.29,0
Loamy,110.58,75.95,129.25,7.24,0.59,1.04,21.13,80.59,3
Loamy,121.44,62.75,174.45,7.47,0.52,1.48,35.32,55.92,3
Alluvial,12.64,9.12,235.82,6.3,0.85,1.29,29.12,82.87,0
Silty,59.26,20.08,274.79,7.3,1.01,0.45,31.48,86.58,5
Loamy,119.17,28.1,13.93,6.41,0.86,0.7,22.67,74.39,3
Sandy,5.36,7.05,112.99,6.08,0.12,0.31,27.31,40.75,4
Alluvial,122.54,57.36,34.01,6.6,0.91,1.23,18.49,59.95,0
Silty,120.63,89.55,181.37,7.09,1.08,1.49,24.16,86.06,5
Black,12.81,63.2,169.14,8.15,1.51,0.42,24.85,47.4,1
Black,114.09,38.53,93.62,7.2,1.74,0.57,18.26,69.72,1
Sandy,29.44,29.22,53.74,6.53,0.32,0.18,24.3,45.32,4
Loamy,92.88,35.46,152.26,6.48,1.11,0.75,35.19,72.58,3
Clayey,88.33,89.57,53.13,7.77,1.12,1.01,33.61,77.05,2
Sandy,9.61,56.85,165.34,5.68,0.15,0.39,19.72,43.14,4
Silty,72.71,34.62,183.41,7.03,0.43,0.8,35.96,84.55,5
Loamy,134.74,52.38,213.1,6.51,0.96,1.18,36.48,93.63,3
Black,99.54,73.2,14.98,7.68,1.61,0.83,29.59,59.01,1
Clayey,128.54,46.17,276.45,8.07,0.7,0.73,18.0,73.77,2
Loamy,7.09,58.14,175.43,6.23,0.92,1.44,26.03,58.59,3
Loamy,60.48,3.38,103.87,6.15,0.43,0.61,28.6,77.31,3
Black,78.72,47.59,155.62,7.88,1.25,1.26,22.02,57.33,1
Alluvial,79.31,41.53,36.85,7.48,0.94,0.55,34.03,65.82,0
Alluvial,3.51,3.51,171.72,7.31,0.89,0.58,25.03,73.57,0
Sandy,67.95,31.16,155.89,6.25,0.43,0.12,19.36,52.0,4
Clayey,51.29,48.27,35.26,6.91,1.38,0.83,34.39,85.37,2
Black,68.21,40.94,42.79,7.44,1.33,0.63,25.96,68.14,1
Black,2.57,80.24,169.47,7.95,0.87,0.5,37.2,42.68,1
Black,134.32,7.53,229.12,7.79,1.51,1.04,33.14,77.43,1
Loamy,65.29,14.43,39.66,7.01,0.47,0.5,33.32,62.75,3
Clayey,71.32,17.76,74.76,6.86,1.26,1.13,33.95,77.27,2
Loamy,128.69,76.45,86.16,6.36,1.03,1.49,25.99,62.53,3
Alluvial,122.37,79.31,44.9,7.25,0.74,0.91,31.84,47.7,0
Black,61.97,22.7,267.32,7.71,0.96,1.35,35.59,89.89,1
Loamy,12.76,62.47,79.7,6.52,0.87,1.41,24.3,52.35,3
Black,116.15,58.81,152.04,8.24,1.63,1.19,20.66,54.37,1
Loamy,10.13,56.79,265.37,7.1,0.8,0.5,21.49,65.94,3
Clayey,102.93,35.29,186.74,6.27,0.85,1.49,34.17,73.64,2
Alluvial,103.46,57.17,46.84,6.65,1.03,0.64,34.63,49.75,0
Alluvial,127.71,34.7,103.38,6.58,0.69,0.95,23.32,58.3,0
Loamy,75.85,80.38,35.77,7.08,1.15,1.5,22.62,89.36,3
Sandy,25.63,42.85,82.42,6.79,0.2,0.32,37.53,75.51,4
Loamy,110.45,68.34,173.77,6.2,1.17,0.65,22.14,67.75,3
Clayey,10.55,76.02,33.64,8.03,0.61,1.55,24.47,82.09,2
Loamy,99.13,8.83,247.83,6.73,0.47,0.94,33.7,55.05,3
Loamy,55.73,24.17,31.28,6.46,0.59,0.44,26.91,44.63,3
Clayey,111.0,30.19,248.26,7.63,0.72,1.91,21.38,42.95,2
Loamy,102.0,34.63,149.3,6.6,0.94,0.99,33.86,93.97,3
Silty,81.48,9.82,88.27,6.11,0.65,0.56,31.9,74.63,5
Black,65.44,5.17,145.65,7.89,0.87,0.76,18.67,46.7,1
Alluvial,123.59,9.45,243.31,6.62,0.82,0.76,31.47,47.55,0
Sandy,12.74,26.34,134.67,6.09,0.27,0.37,22.39,40.01,4
Loamy,88.75,19.53,11.07,7.39,0.45,1.11,24.98,60.62,3
Loamy,85.26,74.19,115.31,6.06,0.44,0.37,26.88,77.16,3
Clayey,138.82,7.65,92.15,7.06,1.01,2.44,28.77,94.57,2
Alluvial,139.27,3.79,64.26,6.1,0.41,1.37,28.75,50.17,0
Sandy,57.67,14.82,29.05,5.68,0.3,0.17,23.96,57.62,4
Loamy,99.02,16.23,25.35,7.23,1.13,0.37,22.94,87.28,3
Alluvial,104.53,50.3,249.6,7.47,0.41,1.22,37.05,81.5,0
Loamy,109.7,19.46,130.37,6.62,1.06,1.02,33.86,52.13,3
Alluvial,62.71,71.08,57.17,7.42,0.54,0.65,37.63,60.99,0
Loamy,106.29,74.66,27.89,7.33,1.15,1.38,24.7,57.25,3
Black,76.99,61.42,180.24,7.51,0.96,0.68,31.92,59.94,1
Alluvial,111.55,12.03,202.51,6.51,0.49,1.34,24.32,43.07,0
Loamy,85.75,29.64,233.08,7.27,0.84,0.42,24.86,46.13,3
Black,2.05,34.12,179.84,8.34,1.14,0.51,22.03,88.96,1
Sandy,55.96,43.9,115.53,6.76,0.29,0.13,37.23,64.47,4
Clayey,124.96,7.96,227.82,7.75,0.88,1.95,30.03,58.66,2
