Soil_Type,Crop_Recommended,Nitrogen,Phosphorus,Potassium,pH,Moisture,Organic_Carbon,Electrical_Conductivity,Temperature,Humidity,Soil_Health_Score,Soil_Health_Class,Nutrient_Deficiencies,Soil_Fertility_Status
Loamy,Soybean,80.86,47.92,118.78,6.35,46.02,0.47,0.85,30.98,66.38,78.81,Good,None,Fertile
Sandy,Potato,4.93,29.55,154.56,7.03,16.29,0.25,0.17,24.61,91.35,61.02,Good,Nitrogen,Moderately Fertile
Sandy,Potato,59.86,81.73,174.0,6.68,21.85,0.12,0.06,36.35,40.29,73.24,Good,None,Fertile
Loamy,Tomato,9.94,35.89,136.36,7.15,38.92,0.86,0.49,28.15,53.33,72.32,Good,Nitrogen,Moderately Fertile
Black,Cotton,55.7,89.2,110.59,7.37,50.98,0.86,0.87,34.2,54.01,77.93,Good,None,Fertile
Loamy,Potato,11.63,19.94,212.72,7.25,35.3,0.68,1.4,36.77,49.97,65.0,Good,"Nitrogen, Phosphorus",Infertile
Sandy,Potato,50.73,63.22,160.77,5.78,20.91,0.18,0.11,25.18,88.25,69.02,Good,None,Fertile
Loamy,Wheat,14.22,40.71,165.89,6.35,32.53,1.0,0.8,36.13,74.33,79.45,Good,Nitrogen,Moderately Fertile
Black,Cotton,139.79,70.19,206.75,7.95,61.36,1.39,1.44,33.57,47.87,91.42,Excellent,None,Fertile
Alluvial,Jute,104.36,6.79,164.97,6.69,27.57,0.83,0.63,27.73,62.49,77.31,Good,Phosphorus,Moderately Fertile
Alluvial,Jute,3.31,43.89,101.98,6.51,39.98,1.06,1.44,30.3,90.15,75.17,Good,Nitrogen,Moderately Fertile
Alluvial,Cotton,101.87,58.54,39.55,6.23,42.42,1.14,1.09,32.73,91.39,82.33,Excellent,Potassium,Moderately Fertile
Alluvial,Cotton,104.71,5.32,216.06,6.34,45.94,0.67,0.54,22.11,83.33,73.31,Good,Phosphorus,Moderately Fertile
Loamy,Groundnut,6.05,83.02,92.06,6.88,36.64,0.78,1.39,29.55,49.1,69.12,Good,"Nitrogen, Potassium",Infertile
Silty,Jute,100.16,78.85,163.77,6.69,30.32,0.81,1.47,21.69,56.48,88.05,Excellent,None,Fertile
Sandy,Potato,51.83,57.0,103.51,6.14,11.99,0.29,0.27,32.28,69.02,68.71,Good,None,Fertile
Black,Wheat,74.51,81.79,161.64,8.18,38.09,1.2,0.51,34.01,93.84,86.18,Excellent,None,Fertile
Silty,Tomato,80.53,55.56,251.87,6.89,31.35,0.56,0.81,29.13,79.64,82.88,Excellent,None,Fertile
Alluvial,Cotton,51.17,16.84,81.97,7.34,41.7,0.56,0.51,18.53,49.98,62.06,Good,"Phosphorus, Potassium",Infertile
Clayey,Sugarcane,106.17,42.75,36.05,6.59,49.08,0.94,1.68,26.72,56.2,79.41,Good,Potassium,Moderately Fertile
Sandy,Potato,74.18,53.33,188.37,5.54,22.89,0.42,0.2,23.16,47.66,75.73,Good,None,Fertile
Loamy,Maize,3.82,15.37,131.31,7.22,42.08,1.06,0.84,27.95,79.61,67.0,Good,"Nitrogen, Phosphorus",Infertile
Loamy,Potato,87.69,6.83,159.73,7.37,40.01,0.93,0.35,18.94,49.15,75.59,Good,Phosphorus,Moderately Fertile
Clayey,Sugarcane,100.98,4.1,195.92,6.65,50.1,0.92,1.94,36.74,80.29,75.48,Good,Phosphorus,Moderately Fertile
Alluvial,Rice,80.99,2.62,39.03,6.71,48.88,0.52,0.97,32.1,72.91,60.79,Good,"Phosphorus, Potassium",Infertile
Loamy,Groundnut,121.1,65.24,160.33,7.44,27.58,0.65,1.23,19.73,92.7,81.63,Excellent,None,Fertile
Alluvial,Sugarcane,112.39,14.13,197.48,6.97,40.93,1.18,1.36,18.88,72.35,84.19,Excellent,Phosphorus,Moderately Fertile
Black,Soybean,87.96,73.63,216.27,7.35,38.62,1.68,0.67,19.1,65.03,96.25,Excellent,None,Fertile
Sandy,Potato,32.05,42.36,173.11,6.4,16.21,0.29,0.36,34.08,69.61,70.84,Good,Nitrogen,Moderately Fertile
Silty,Jute,128.72,52.31,264.77,6.03,30.82,0.42,1.32,33.98,94.89,79.15,Good,None,Fertile
Black,Sugarcane,80.27,51.8,213.07,7.32,52.42,1.13,0.96,18.07,65.7,90.23,Excellent,None,Fertile
Black,Sugarcane,85.25,19.96,269.1,7.34,43.32,1.89,0.46,33.96,54.24,89.62,Excellent,Phosphorus,Moderately Fertile
Sandy,Potato,6.99,9.66,87.64,5.61,23.07,0.5,0.31,34.61,46.62,50.56,Moderate,"Nitrogen, Phosphorus, Potassium",Infertile
Black,Sugarcane,97.25,30.82,158.81,7.98,53.89,1.06,1.13,27.82,94.8,82.71,Excellent,None,Fertile
Sandy,Tomato,74.57,48.13,41.09,6.16,22.9,0.44,0.21,35.04,41.95,69.55,Good,Potassium,Moderately Fertile
Alluvial,Maize,13.48,86.97,57.37,6.07,31.32,0.4,1.07,35.89,94.53,59.7,Moderate,"Nitrogen, Potassium",Infertile
Clayey,Wheat,128.13,29.62,30.97,7.15,59.03,1.38,1.97,21.21,58.37,78.39,Good,Potassium,Moderately Fertile
Loamy,Soybean,61.6,36.81,18.61,7.24,47.02,1.1,0.14,21.22,84.99,74.32,Good,Potassium,Moderately Fertile
Clayey,Rice,120.19,18.56,220.26,7.19,62.11,0.83,1.77,28.83,92.96,77.12,Good,Phosphorus,Moderately Fertile
Loamy,Groundnut,119.39,66.69,148.39,6.25,29.34,1.02,1.43,19.16,44.11,90.11,Excellent,None,Fertile
Black,Cotton,79.12,49.09,222.6,7.23,38.9,1.71,0.43,31.67,64.52,96.7,Excellent,None,Fertile
Silty,Tomato,11.51,28.4,62.83,7.26,38.18,1.06,0.52,35.36,92.98,66.34,Good,"Nitrogen, Potassium",Infertile
Alluvial,Cotton,115.2,69.67,80.09,6.48,44.0,0.75,0.54,35.36,79.32,80.69,Excellent,Potassium,Moderately Fertile
Sandy,Tomato,10.89,73.74,27.95,6.4,6.82,0.16,0.21,36.24,93.21,54.3,Moderate,"Nitrogen, Potassium",Infertile
Alluvial,Cotton,79.33,57.22,138.31,6.98,38.96,0.58,0.33,37.69,48.23,81.62,Excellent,None,Fertile
Loamy,Groundnut,8.27,69.93,66.48,7.36,41.42,1.01,1.43,20.06,71.4,68.65,Good,"Nitrogen, Potassium",Infertile
Loamy,Potato,57.43,75.96,119.45,7.32,48.53,0.46,0.85,24.44,93.76,72.59,Good,None,Fertile
Alluvial,Jute,103.53,59.33,183.24,7.34,41.76,1.16,0.27,23.98,91.44,90.63,Excellent,None,Fertile
Loamy,Soybean,107.92,52.11,212.9,6.68,47.37,0.84,1.24,19.63,43.32,88.6,Excellent,None,Fertile
Alluvial,Jute,109.28,49.86,168.84,7.18,49.4,0.67,0.35,32.38,52.57,83.27,Excellent,None,Fertile
Alluvial,Jute,91.64,79.46,211.79,6.39,42.01,0.46,0.14,32.85,63.4,81.62,Excellent,None,Fertile
Loamy,Potato,93.8,79.87,255.18,7.09,46.68,0.86,0.71,26.43,55.23,86.88,Excellent,None,Fertile
Alluvial,Maize,7.68,5.24,123.21,6.61,45.9,0.59,1.19,28.25,62.72,58.76,Moderate,"Nitrogen, Phosphorus",Infertile
Loamy,Soybean,85.91,78.64,32.26,6.47,41.57,0.48,1.01,29.77,72.93,71.88,Good,Potassium,Moderately Fertile
Alluvial,Jute,63.12,45.95,176.97,7.0,36.05,0.66,0.73,36.97,53.89,81.19,Excellent,None,Fertile
Black,Sugarcane,100.23,7.12,38.55,8.32,58.45,1.65,1.02,37.73,46.76,70.53,Good,"Phosphorus, Potassium",Infertile
Black,Sugarcane,85.76,48.39,201.49,8.09,37.66,0.92,1.22,18.35,57.77,82.88,Excellent,None,Fertile
Loamy,Maize,113.42,26.15,198.36,6.46,41.67,0.51,0.14,37.4,45.16,78.18,Good,None,Fertile
Sandy,Groundnut,94.75,59.43,247.23,6.66,18.85,0.44,0.38,29.41,41.67,82.03,Excellent,None,Fertile
Black,Wheat,109.21,89.95,42.05,7.34,54.77,1.27,1.31,37.54,62.38,82.87,Excellent,Potassium,Moderately Fertile
Silty,Tomato,9.08,4.6,229.45,7.0,46.96,0.72,0.56,26.71,84.98,61.38,Good,"Nitrogen, Phosphorus",Infertile
Loamy,Soybean,83.59,28.18,48.3,6.36,42.39,0.71,0.73,30.07,76.75,72.65,Good,Potassium,Moderately Fertile
Silty,Jute,84.22,41.91,175.04,6.51,37.98,0.78,0.14,28.67,73.43,87.55,Excellent,None,Fertile
Clayey,Sugarcane,108.92,40.41,79.29,8.1,55.08,1.41,0.64,27.58,50.7,84.71,Excellent,Potassium,Moderately Fertile
Clayey,Wheat,60.97,6.54,200.28,6.91,61.36,1.24,1.05,21.63,68.88,79.79,Good,Phosphorus,Moderately Fertile
Alluvial,Cotton,106.98,86.11,180.4,6.07,37.09,1.04,0.87,34.38,88.63,89.68,Excellent,None,Fertile
Alluvial,Jute,10.11,31.98,235.65,6.36,46.0,1.12,0.59,26.47,76.72,78.15,Good,Nitrogen,Moderately Fertile
Silty,Rice,78.1,3.13,81.55,6.27,46.73,0.78,0.85,30.76,54.13,67.66,Good,"Phosphorus, Potassium",Infertile
Loamy,Soybean,51.42,37.29,234.68,7.09,41.9,0.75,0.72,30.06,58.55,79.38,Good,None,Fertile
Black,Sugarcane,105.54,45.39,237.97,7.65,52.87,1.28,0.91,31.39,43.85,91.08,Excellent,None,Fertile
Clayey,Wheat,84.06,9.69,278.87,6.12,48.08,1.01,0.88,26.93,58.35,79.33,Good,Phosphorus,Moderately Fertile
Silty,Tomato,81.28,63.19,228.86,7.13,38.4,0.48,0.73,36.54,52.91,80.35,Excellent,None,Fertile
Loamy,Potato,58.02,4.43,61.93,6.94,38.5,1.07,0.83,34.52,83.01,67.78,Good,"Phosphorus, Potassium",Infertile
Loamy,Maize,85.73,45.78,180.15,6.46,27.19,1.15,0.88,28.31,90.57,93.47,Excellent,None,Fertile
Silty,Jute,7.24,79.44,231.48,6.57,48.26,0.49,1.24,33.8,56.76,70.89,Good,Nitrogen,Moderately Fertile
Alluvial,Maize,127.58,83.82,151.77,6.2,49.39,0.91,1.25,30.13,82.06,88.17,Excellent,None,Fertile
Sandy,Tomato,58.16,53.96,29.22,5.73,12.35,0.13,0.06,26.65,57.15,58.44,Moderate,Potassium,Moderately Fertile
Alluvial,Maize,69.06,48.77,33.48,6.29,34.12,0.71,0.89,30.39,56.35,73.1,Good,Potassium,Moderately Fertile
Black,Wheat,123.26,9.09,106.56,8.5,55.76,0.87,1.11,30.48,68.99,65.84,Good,Phosphorus,Moderately Fertile
Black,Wheat,136.74,29.89,63.45,7.7,50.77,1.38,0.65,26.37,83.47,81.44,Excellent,Potassium,Moderately Fertile
Black,Sugarcane,55.82,13.41,13.82,7.46,44.71,1.8,1.28,23.32,75.53,70.7,Good,"Phosphorus, Potassium",Infertile
Alluvial,Maize,127.36,41.39,269.06,6.92,31.09,0.92,1.23,20.66,45.62,88.73,Excellent,None,Fertile
Alluvial,Rice,94.59,40.91,39.65,7.24,48.26,0.6,1.19,22.54,88.92,71.99,Good,Potassium,Moderately Fertile
Loamy,Soybean,122.19,18.43,38.89,6.99,26.2,0.43,1.14,28.17,61.32,63.15,Good,"Phosphorus, Potassium",Infertile
Black,Wheat,124.75,15.5,136.07,7.91,58.52,1.23,0.98,19.65,68.31,79.55,Good,Phosphorus,Moderately Fertile
Loamy,Tomato,8.17,5.89,149.56,6.39,41.68,0.41,0.46,35.92,57.72,57.4,Moderate,"Nitrogen, Phosphorus",Infertile
Loamy,Maize,83.84,54.01,127.16,6.14,26.09,0.49,0.94,21.27,55.06,78.84,Good,None,Fertile
Clayey,Rice,132.7,30.18,218.76,7.86,50.01,1.33,2.22,27.21,86.31,83.27,Excellent,None,Fertile
Loamy,Groundnut,61.86,68.08,234.45,6.25,49.62,1.15,0.16,22.27,67.82,89.39,Excellent,None,Fertile
Silty,Rice,107.27,70.89,70.02,7.31,32.44,0.85,1.06,27.23,40.51,78.51,Good,Potassium,Moderately Fertile
Sandy,Potato,115.98,8.09,32.37,6.44,13.03,0.42,0.12,25.11,83.11,60.11,Good,"Phosphorus, Potassium",Infertile
Loamy,Tomato,92.33,50.16,29.89,7.26,43.97,0.94,1.16,25.71,75.39,76.69,Good,Potassium,Moderately Fertile
Loamy,Groundnut,4.93,42.19,24.6,6.27,29.46,0.42,0.33,28.2,79.79,56.69,Moderate,"Nitrogen, Potassium",Infertile
Loamy,Maize,55.27,36.74,19.85,6.12,31.75,1.06,0.8,32.15,83.37,73.49,Good,Potassium,Moderately Fertile
Loamy,Soybean,139.85,5.28,190.64,7.1,27.22,0.58,0.94,26.42,74.99,70.59,Good,Phosphorus,Moderately Fertile
Loamy,Soybean,64.88,66.02,35.58,7.47,48.76,0.56,0.89,29.73,78.37,67.29,Good,Potassium,Moderately Fertile
Alluvial,Jute,134.36,66.48,11.72,6.65,34.42,0.77,0.77,19.0,89.72,75.29,Good,Potassium,Moderately Fertile
Silty,Tomato,54.01,12.9,98.93,6.42,48.07,0.78,0.12,23.51,83.29,69.2,Good,"Phosphorus, Potassium",Infertile
Sandy,Tomato,5.08,54.96,116.48,5.58,10.36,0.16,0.35,24.3,82.45,57.1,Moderate,Nitrogen,Moderately Fertile
Sandy,Potato,41.22,49.56,274.89,6.84,22.64,0.26,0.34,20.9,79.88,71.67,Good,Nitrogen,Moderately Fertile
Black,Sugarcane,58.0,64.7,166.28,7.74,40.49,0.83,1.41,37.61,52.51,79.47,Good,None,Fertile
Clayey,Rice,62.69,63.14,84.02,6.94,61.45,0.8,2.19,19.95,87.41,73.74,Good,Potassium,Moderately Fertile
Loamy,Potato,68.12,30.69,71.18,7.18,45.16,0.77,0.17,24.6,81.62,72.84,Good,Potassium,Moderately Fertile
Loamy,Groundnut,119.48,12.17,29.7,7.48,46.76,0.59,0.73,27.28,90.01,60.46,Good,"Phosphorus, Potassium",Infertile
Silty,Tomato,97.1,32.97,228.21,6.31,34.51,1.02,1.45,29.55,74.9,88.21,Excellent,None,Fertile
Loamy,Potato,127.15,82.49,99.23,6.48,28.95,0.96,1.21,37.67,47.74,85.89,Excellent,Potassium,Moderately Fertile
Alluvial,Sugarcane,95.47,87.37,134.44,7.21,40.38,0.47,1.34,37.68,76.74,78.4,Good,None,Fertile
Black,Soybean,130.12,16.35,212.87,8.14,35.38,1.47,1.14,21.75,87.2,83.92,Excellent,Phosphorus,Moderately Fertile
Silty,Tomato,11.35,80.39,161.36,6.38,47.53,0.92,0.54,22.89,46.21,77.79,Good,Nitrogen,Moderately Fertile
Black,Wheat,116.43,4.52,30.45,7.95,40.74,1.54,1.01,23.08,41.71,70.8,Good,"Phosphorus, Potassium",Infertile
Sandy,Groundnut,80.63,79.31,83.88,5.63,18.11,0.5,0.08,25.21,43.77,72.61,Good,Potassium,Moderately Fertile
Alluvial,Cotton,108.57,79.94,30.05,7.35,30.82,1.05,0.18,21.38,61.44,78.09,Good,Potassium,Moderately Fertile
Black,Wheat,116.59,83.45,100.01,7.25,64.3,0.93,0.99,35.17,56.07,82.81,Excellent,None,Fertile
Black,Cotton,5.14,5.75,58.15,8.28,63.88,1.67,0.83,32.07,69.74,59.54,Moderate,"Nitrogen, Phosphorus, Potassium",Infertile
Clayey,Sugarcane,128.95,80.18,112.6,6.14,47.92,1.26,1.7,24.81,94.4,89.18,Excellent,None,Fertile
Black,Wheat,124.82,57.92,58.73,7.28,64.86,1.83,1.13,19.88,90.03,88.49,Excellent,Potassium,Moderately Fertile
Clayey,Rice,62.38,37.27,71.21,7.02,64.31,0.67,2.32,21.41,92.15,68.3,Good,Potassium,Moderately Fertile
Loamy,Soybean,73.64,31.73,11.19,7.46,28.29,0.59,1.2,37.68,54.79,64.38,Good,Potassium,Moderately Fertile
Loamy,Groundnut,92.57,59.8,147.44,6.68,47.68,0.59,0.76,26.95,66.09,84.21,Excellent,None,Fertile
Alluvial,Rice,89.47,27.48,129.2,6.69,45.83,1.08,0.5,18.89,55.28,86.53,Excellent,None,Fertile
Clayey,Sugarcane,54.04,46.05,262.36,7.49,70.8,1.12,0.56,21.3,61.44,84.89,Excellent,None,Fertile
Clayey,Rice,50.19,67.41,237.4,7.9,65.15,1.46,1.94,18.81,87.94,85.22,Excellent,None,Fertile
Alluvial,Cotton,86.38,35.69,217.46,7.35,27.31,0.88,0.87,26.25,75.54,84.48,Excellent,None,Fertile
Loamy,Maize,7.49,82.2,46.61,7.09,47.83,0.89,1.32,28.68,47.82,66.11,Good,"Nitrogen, Potassium",Infertile
Alluvial,Jute,108.71,77.65,203.12,7.09,28.08,0.85,0.58,26.6,77.01,86.72,Excellent,None,Fertile
Alluvial,Maize,78.7,56.58,122.79,6.65,45.56,1.09,1.38,30.02,78.81,90.28,Excellent,None,Fertile
Clayey,Sugarcane,52.29,61.67,189.23,6.34,44.99,1.4,1.19,24.81,43.94,92.42,Excellent,None,Fertile
Alluvial,Sugarcane,3.29,87.76,87.12,6.16,46.04,0.86,0.88,37.55,69.26,68.76,Good,"Nitrogen, Potassium",Infertile
Alluvial,Jute,131.01,19.29,268.98,6.43,25.58,1.0,0.74,24.28,88.86,83.91,Excellent,Phosphorus,Moderately Fertile
Black,Cotton,99.83,53.34,220.48,7.4,46.57,1.21,1.16,34.67,64.22,91.17,Excellent,None,Fertile
Clayey,Rice,81.25,56.44,64.8,7.23,51.99,0.84,2.43,26.88,74.44,72.7,Good,Potassium,Moderately Fertile
Alluvial,Maize,63.32,78.2,207.72,7.1,33.15,1.03,0.75,36.14,47.28,86.89,Excellent,None,Fertile
Sandy,Groundnut,11.81,12.76,272.4,6.66,19.92,0.32,0.07,36.98,68.21,59.59,Moderate,"Nitrogen, Phosphorus",Infertile
Alluvial,Cotton,132.69,38.98,211.43,6.91,38.06,0.85,0.72,35.89,65.08,87.28,Excellent,None,Fertile
Loamy,Soybean,14.63,33.87,90.1,6.0,36.91,1.2,0.18,24.24,54.08,73.74,Good,"Nitrogen, Potassium",Infertile
Alluvial,Maize,106.93,61.56,234.95,6.79,48.23,0.42,1.32,24.67,80.32,81.05,Excellent,None,Fertile
Alluvial,Maize,80.76,60.63,47.26,6.07,49.87,0.47,0.1,18.11,91.54,71.05,Good,Potassium,Moderately Fertile
Clayey,Wheat,111.87,11.96,13.03,6.62,43.65,0.96,1.95,28.98,74.76,66.68,Good,"Phosphorus, Potassium",Infertile
Loamy,Groundnut,93.04,21.62,207.53,6.36,42.04,0.49,1.28,31.34,51.61,75.84,Good,Phosphorus,Moderately Fertile
Loamy,Potato,99.41,27.54,38.42,7.26,31.65,0.42,0.92,22.29,62.89,64.63,Good,Potassium,Moderately Fertile
Silty,Jute,13.92,28.77,105.8,6.79,45.54,0.84,0.99,23.8,70.98,69.36,Good,Nitrogen,Moderately Fertile
Alluvial,Maize,59.25,25.12,225.75,6.6,45.59,0.98,0.48,32.3,72.64,82.92,Excellent,None,Fertile
Sandy,Groundnut,16.5,55.2,246.64,6.91,23.81,0.13,0.38,29.44,89.9,65.03,Good,Nitrogen,Moderately Fertile
Loamy,Potato,133.72,77.54,198.96,6.85,41.88,0.49,0.16,20.78,53.98,81.92,Excellent,None,Fertile
Silty,Rice,139.95,7.08,154.64,6.95,48.6,0.62,0.77,25.7,87.62,72.61,Good,Phosphorus,Moderately Fertile
Silty,Tomato,69.08,62.59,148.07,7.28,44.19,0.73,1.25,35.6,51.87,81.78,Excellent,None,Fertile
Loamy,Potato,85.56,2.89,79.8,6.97,41.29,0.99,0.54,35.8,55.81,71.04,Good,"Phosphorus, Potassium",Infertile
Alluvial,Sugarcane,61.19,5.71,153.22,6.03,25.37,0.7,0.57,26.09,69.2,69.25,Good,Phosphorus,Moderately Fertile
Silty,Jute,61.84,78.57,173.84,6.33,44.06,0.76,0.47,19.53,61.04,83.29,Excellent,None,Fertile
Black,Sugarcane,13.68,33.98,191.61,7.68,58.19,1.42,0.89,37.48,86.59,80.21,Excellent,Nitrogen,Moderately Fertile
Sandy,Potato,22.33,48.73,216.86,5.89,12.96,0.22,0.07,27.48,43.18,65.5,Good,Nitrogen,Moderately Fertile
Alluvial,Cotton,115.31,59.58,254.02,6.31,41.11,0.85,1.19,34.94,57.33,87.72,Excellent,None,Fertile
Black,Cotton,80.36,68.0,164.7,8.43,39.92,1.57,1.53,19.21,77.95,90.67,Excellent,None,Fertile
Silty,Tomato,81.88,85.93,270.58,7.14,26.11,0.73,0.52,30.42,91.08,84.47,Excellent,None,Fertile
Clayey,Wheat,10.28,89.6,161.81,7.48,70.24,1.03,2.3,25.84,76.25,71.35,Good,Nitrogen,Moderately Fertile
Silty,Jute,56.58,59.79,275.29,6.89,39.24,0.61,0.71,21.8,83.59,79.81,Good,None,Fertile
Alluvial,Sugarcane,77.9,28.56,144.56,7.16,49.18,0.71,1.3,33.63,92.81,79.39,Good,None,Fertile
Alluvial,Sugarcane,54.15,74.65,74.47,7.21,44.61,0.7,0.87,28.29,84.46,72.59,Good,Potassium,Moderately Fertile
Silty,Jute,54.04,70.88,122.93,7.49,32.22,0.72,1.39,25.85,81.48,75.82,Good,None,Fertile
Alluvial,Rice,126.25,82.18,249.34,6.62,49.81,0.71,0.9,37.49,41.51,86.73,Excellent,None,Fertile
Clayey,Rice,7.59,55.07,136.88,6.95,45.19,1.21,0.95,24.53,86.18,80.18,Excellent,Nitrogen,Moderately Fertile
